fid;objectid;ccod_cact;iidtn_frt;llib_frt;cdom_frt;cinse_dep;layer;path;area;frt_com;area_ha;CodeINSEE;coordX;coordY;geo_shape
6348;"6191";"8615";F11557M;For�t communale de Bov�e-Sur-Barboure;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"3221727";"1";"322";"55066";5.5040045962;48.6226261479;"MultiPolygon (((885466.4 6838464.7, 885467.2 6838471.3, 885467.3 6838473.9, 885466.2 6838477.3, 885459.3 6838479.8, 885450.9"
6602;"6462";"8620";F12292T;For�t communale de Bouligny;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"1615447";"1";"162";"55063";5.7285341865;49.2697478530;"MultiPolygon (((897888.2 6908871.2, 897861.8 6908885.6, 897853.1 6908890.4, 897835.5 6908900, 897826.7 6908904.7, 897800.3 69"
7084;"7022";"8630";F13113I;For�t communale de Rohrbach-Les-Bitche;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"578016";"1";"58";"57589";7.2875060396;49.0174481355;"MultiPolygon (((1013862.4 6888420.4, 1013860.1 6888411.5, 1013858 6888398.9, 1013861.4 6888376.3, 1013830.6 6888307.4, 101382"
6554;"6618";"8625";F12664B;For�t communale de Rochonvillers;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"582565";"1";"58";"57586";6.0179323868;49.4048936381;"MultiPolygon (((918966.4 6926843.4, 918966.4 6926843.5, 919047.3 6926862, 919055.2 6926867.4, 919070.1 6926896.8, 919091 6926"
9714;"11556";"8765";F15631E;For�t communale de Bordezac;NON;"30";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"1896738";"1";"190";"30045";4.0912285722;44.3211193180;"MultiPolygon (((785657.1 6357323.9, 785656.6 6357326, 785655.3 6357331.8, 785655.4 6357332.3, 785653 6357342.3, 785648.5 6357"
6962;"6876";"8625";F12954F;For�t communale de Rodalbe;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"510452";"1";"51";"57587";6.7160934796;48.9145111901;"MultiPolygon (((972677.2 6873828.8, 972676.1 6873829.2, 972674.9 6873826.1, 972669.7 6873827.3, 972593.7 6873835.4, 972532.7"
9709;"11553";"8765";F15627A;For�t communale de Boisset Et Gaujac;NON;"30";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"273098";"1";"27";"30042";4.0151594177;44.0748128633;"MultiPolygon (((781223.9 6331141.7, 781148.1 6331121.1, 781029.2 6331088.7, 781025.6 6331087.7, 781004.8 6331234.7, 780994.2"
2529;"4704";"8455";F21705U;For�t communale de Dienay;NON;"21";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"2857977";"1";"286";"21230";5.0624915472;47.5281765913;"MultiPolygon (((856190.1 6713741.5, 856184.5 6713709.8, 856193.8 6713686, 856212 6713672.4, 856244 6713664.4, 856273.1 671367"
9704;"11547";"8765";F15621U;For�t communale de Bouquet;NON;"30";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"4810680";"1";"481";"30048";4.2698347745;44.1536037910;"MultiPolygon (((804580.2 6337442.7, 804574.3 6337537.4, 804597.3 6337572.8, 804673.7 6337508.3, 804708.2 6337579.6, 804713.3"
3789;"5428";"8455";F99609C;For�t communale de Drambon;NON;"21";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"2320402";"1";"232";"21233";5.0728706792;47.3617213067;"MultiPolygon (((877767.4 6694487.6, 877871.359248 6694622.10827, 877860.577853 6694648.950097, 877856.5 6694650.4, 877853.5 6"
7039;"6963";"8625";F13053A;For�t communale de Richeling;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"359560";"1";"36";"57581";6.9925355163;49.0412106546;"MultiPolygon (((988738.1 6887472.5, 988608.5 6887640.5, 988552.5 6887696.5, 988520.4 6887728, 988653 6887701.1, 988754 688750"
7095;"7037";"8630";F13128X;For�t communale de Rimling;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"341919";"1";"34";"57584";7.2936866802;49.1033486849;"MultiPolygon (((1013474.6 6898045.1, 1013461.2 6897979.2, 1013462.9 6897971.1, 1013468.2 6897953.4, 1013472.2 6897941.3, 1013"
9302;"11466";"8765";F15534L;For�t communale de Blandas;NON;"30";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"1202239";"1";"120";"30040";3.4977745152;43.9162005254;"MultiPolygon (((739306.8 6312764.9, 739215.6 6312757.5, 739136.7 6312751.1, 739010.2 6312711, 738896.1 6312673.8, 738883.3 63"
6864;"6777";"8625";F12850F;For�t communale de Richemont;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"690840";"1";"69";"57582";6.1419301645;49.2871797446;"MultiPolygon (((928343.7 6914064.7, 928392.2 6914078.4, 928388.8 6914112.3, 928384.8 6914152.4, 928382.8 6914172.6, 928380.2"
9633;"11452";"8765";F15518V;For�t communale de Blauzac;NON;"30";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"2095036";"1";"210";"30041";4.3958747534;43.9659285387;"MultiPolygon (((811693.7 6319867.9, 811691.6 6319888.9, 811691.9 6319897.4, 811692.3 6319910.7, 811693.4 6319921, 811690.3 63"
7093;"7032";"8630";F13123S;For�t communale de Saint-Georges;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"392725";"1";"39";"57583";6.9295678503;48.6437277654;"MultiPolygon (((989923.1 6845497.3, 989955.1 6845476.4, 989952.7 6845433.7, 989961.5 6845426.8, 989956.5 6845417.5, 989952 68"
6912;"6827";"8625";F12905I;For�t communale superficiaire de Rodemack;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"73045";"1";"7";"57588";6.2533141551;49.4659903888;"MultiPolygon (((935858.8 6934247.4, 935845.7 6934271.6, 935821.3 6934314.3, 935793.6 6934375.3, 935811.6 6934386.6, 935825.7"
6669;"6526";"8620";F12479Y;For�t communale de Bantheville;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"3775382";"1";"378";"55028";5.0613770182;49.3484640209;"MultiPolygon (((848217.4 6917451.2, 848233.6 6917459.4, 848241.7 6917463.6, 848247 6917471.7, 848252.2 6917479.8, 848257.5 69"
10693;"12638";"8785";F18106J;For�t communale de Montastruc-De-Salies;NON;"31";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"1125131";"1";"113";"31357";0.9052516468;43.0167665441;"MultiPolygon (((529566.3 6214787.3, 529538.4 6214801, 529522.2 6214834.5, 529505.1 6214853.1, 529488.2 6214867.5, 529478.9 62"
7083;"7021";"8630";F13112H;For�t communale de Phalsbourg;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"359966";"1";"36";"57540";7.2590806007;48.7511148274;"MultiPolygon (((1011587.8 6858720.9, 1011586 6858732.7, 1011579 6858745.5, 1011584.8 6858750.1, 1011589.308333 6858752.26216,"
10551;"12463";"8785";F17923I;For�t communale de Montaigut-Sur-Save;NON;"31";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"557813";"1";"56";"31356";1.2314192732;43.6625046062;"MultiPolygon (((557015.273288 6286307.991531, 557025.2 6286309.2, 557020.1 6286346.7, 557012.7 6286416.8, 557009.7 6286445.8,"
7100;"7087";"8630";F13183A;For�t communale de Plaine-De-Walsch;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"525746";"1";"53";"57544";7.1496391168;48.6942726740;"MultiPolygon (((1005114.2 6851937.6, 1005084.2 6851934.1, 1005076.4 6851932.5, 1005047 6851926.8, 1005036.3 6851921.8, 100503"
6776;"6662";"8625";F12714Z;For�t communale de Plappeville;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"62233";"1";"6";"57545";6.1187216799;49.1326790582;"MultiPolygon (((927496.6 6896544.3, 927487.7 6896587.3, 927494.2 6896637.9, 927498.4 6896654.9, 927501.2 6896677.4, 927501.2"
10671;"12614";"8785";F18082L;For�t communale de Moncaup;NON;"31";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"2072966";"1";"207";"31348";0.7001650994;42.9782308726;"MultiPolygon (((512516.2 6211761.4, 512519.2 6211759.2, 512508.9 6211749.2, 512473 6211738.9, 512434.8 6211721.8, 512412.2 62"
6758;"6641";"8625";F12691C;For�t communale de Piblange;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"1308612";"1";"131";"57542";6.4069340957;49.2451780926;"MultiPolygon (((947695.2 6908827.2, 947641.8 6908847.3, 947584.6 6908859.6, 947554 6908865.2, 947554.3 6908865.9, 947548.3 69"
10709;"12656";"8785";F18124B;For�t communale de Mondilhan;NON;"31";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"181998";"1";"18";"31350";0.6961826117;43.2987741000;"MultiPolygon (((513209.4 6246850.6, 513199.5 6246863.1, 513189 6246875.1, 513181.1 6246877.3, 513179.9 6246875.8, 513178.3 62"
6366;"6208";"8615";F11600D;For�t communale de Badonvilliers-Gerauvilliers;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"4775238";"1";"478";"55026";5.5902718823;48.5384830365;"MultiPolygon (((889657.9 6829328.3, 889636.5 6829407.6, 889644.4 6829416.1, 889654.5 6829426.9, 889658.6 6829430.4, 889674.4"
14270;"13491";"8805";F49479A;For�t communale de Pouilly-Sous-Charlieu;NON;"42";rdf_pub.frt_reg84;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg84.shp;"58253";"1";"6";"42177";4.1608356025;46.1375747440;"MultiPolygon (((789652.9 6560518.3, 789691.5 6560512.2, 789724.2 6560514.1, 789724.4 6560285.7, 789634.1 6560203.4, 789624.2"
6592;"6451";"8620";F12255I;For�t communale d'Avocourt;NON;"55";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"1364949";"1";"136";"55023";5.1458452618;49.1932572905;"MultiPolygon (((854619.611528 6900978.213872, 854627.4 6901002.3, 854647.2 6901036, 854672.7 6901076.2, 854690.3 6901087.3, 8"
