fid;objectid;ccod_cact;iidtn_frt;llib_frt;cdom_frt;cinse_dep;layer;path;area;frt_com;area_ha;CodeINSEE;coordX;coordY;geo_shape
3862;"6017";"8535";F10417Q;For�t communale de Saint-Pierre-L�s-Elbeuf;NON;"27";rdf_pub.frt_reg28;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg28.shp;"246878";"1";"25";"27534";1.0456777807;49.2578070395;"MultiPolygon (((557436.1 6908242.6, 557499.8 6908297.8, 557603.8 6908381.1, 557621.4 6908430.7, 557760.2 6908444, 557836.5 69"
2408;"4579";"8455";F21546R;For�t communale de Grosbois-L�s-Tichey;NON;"21";rdf_pub.frt_reg27;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg27.shp;"338335";"1";"34";"21311";5.2261705468;47.0068780805;"MultiPolygon (((869931.7 6657610.1, 869993.2 6657580.1, 870041.6 6657560.7, 870040 6657557, 870026.8 6657542.1, 869999.9 6657"
7006;"6926";"8625";F13012L;For�t communale de Ottonville;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"3340685";"1";"334";"57530";6.5006177367;49.2078964872;"MultiPolygon (((955723.9 6906144.3, 955743.3 6906128.3, 955744.5 6906127.3, 955746.5 6906122.8, 955755 6906108.3, 955765.8 69"
10661;"12588";"8785";F18056L;For�t communale de Miramont-De-Comminges;NON;"31";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"3022725";"1";"302";"31344";0.7462191343;43.0839005300;"MultiPolygon (((515034.7 6222822.4, 515043.1 6222849.4, 515052.1 6222873.3, 515065.8 6222898.9, 515082.3 6222933, 515086.9 62"
6639;"6700";"8625";F12765Y;For�t communale de Pange;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"292242";"1";"29";"57533";6.3559503670;49.0985328517;"MultiPolygon (((945317.2 6894101.9, 945312.7 6894098.5, 945243.4 6894044.7, 945178.3 6893993.2, 945198.6 6893941.9, 945216.7"
10644;"12567";"8785";F18033O;For�t communale de Melles;NON;"31";rdf_pub.frt_reg76;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg76.shp;"19408661";"1";"1941";"31337";0.8025231850;42.8724366085;"MultiPolygon (((520270 6198217.3, 520269.6 6198225.9, 520258.5 6198231.1, 520271.8 6198267.9, 520293.4 6198281.3, 520300.1 61"
6902;"6811";"8625";F12888R;For�t communale de Malling;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"612126";"1";"61";"57531";6.3391602995;49.3763680569;"MultiPolygon (((942333.7 6922650.9, 942342.4 6922653.6, 942379.4 6922628.7, 942371 6922614.9, 942373 6922597.2, 942387.8 6922"
5429;"9425";"8691";F08647O;For�t communale de Mietesheim;NON;"67";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"2371629";"1";"237";"67292";7.6546872209;48.8684107459;"MultiPolygon (((1040129.2 6873075.2, 1040123.5 6873142, 1040133.5 6873150.4, 1040158.2 6873153.4, 1040159.9 6873180.6, 104018"
7740;"7004";"8625";F48903W;For�t communale de Petite-Rosselle;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"394550";"1";"39";"57537";6.8618189543;49.2124164106;"MultiPolygon (((980785.8 6908096.1, 980813 6908134.5, 980841.5 6908174, 980853.6 6908167.8, 980871.2 6908138, 980894.9 690815"
6822;"6727";"8625";F12794B;For�t communale de Pettoncourt;NON;"57";rdf_pub.frt_reg44;D:/sig/Couches_brutes/Vecteurs/ONF/Foret_publique_2022/rdf_pub.frt_reg44.shp;"432847";"1";"43";"57538";6.4113490806;48.7894343265;"MultiPolygon (((950537.5 6859849.5, 950536.9 6859849, 950520.1 6859833.5, 950440.9 6859792.3, 950420.8 6859781.9, 950433.3 68"
